,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group14_PT_0,Group14_PT_0.01,Group14_PT_0.02,Group14_PT_0.03,Group14_PT_0.04,Group14_PT_0.05,Group14_PT_0.06,Group14_PT_0.07,Group14_PT_0.08,Group14_PT_0.09,Group14_PT_0.1,Group14_PT_0.11,Group14_PT_0.12,Group14_PT_0.13,Group14_PT_0.14,Group14_PT_0.15,Group14_PT_0.16,Group14_PT_0.17,Group14_PT_0.18,Group14_PT_0.19,Group14_PT_0.2,Group14_PT_0.21,Group14_PT_0.22,Group14_PT_0.23,Group14_PT_0.24,Group14_PT_0.25,Group14_PT_0.26,Group14_PT_0.27,Group14_PT_0.28,Group14_PT_0.29,Group14_PT_0.3,Group14_PT_0.31,Group14_PT_0.32,Group14_PT_0.33,Group14_PT_0.34,Group14_PT_0.35,Group14_PT_0.36,Group14_PT_0.37,Group14_PT_0.38,Group14_PT_0.39,Group14_PT_0.4,Group14_PT_0.41,Group14_PT_0.42,Group14_PT_0.43,Group14_PT_0.44,Group14_PT_0.45,Group14_PT_0.46,Group14_PT_0.47,Group14_PT_0.48,Group14_PT_0.49,Group14_PT_0.5,Group14_PT_0.51,Group14_PT_0.52,Group14_PT_0.53,Group14_PT_0.54,Group14_PT_0.55,Group14_PT_0.56,Group14_PT_0.57,Group14_PT_0.58,Group14_PT_0.59,Group14_PT_0.6,Group14_PT_0.61,Group14_PT_0.62,Group14_PT_0.63,Group14_PT_0.64,Group14_PT_0.65,Group14_PT_0.66,Group14_PT_0.67,Group14_PT_0.68,Group14_PT_0.69,Group14_PT_0.7,Group14_PT_0.71,Group14_PT_0.72,Group14_PT_0.73,Group14_PT_0.74,Group14_PT_0.75,Group14_PT_0.76,Group14_PT_0.77,Group14_PT_0.78,Group14_PT_0.79,Group14_PT_0.8,Group14_PT_0.81,Group14_PT_0.82,Group14_PT_0.83,Group14_PT_0.84,Group14_PT_0.85,Group14_PT_0.86,Group14_PT_0.87,Group14_PT_0.88,Group14_PT_0.89,Group14_PT_0.9,Group14_PT_0.91,Group14_PT_0.92,Group14_PT_0.93,Group14_PT_0.94,Group14_PT_0.95,Group14_PT_0.96,Group14_PT_0.97,Group14_PT_0.98,Group14_PT_0.99,Group14_PT_1
0,SPINK2,0,0,60.73,2.0377e-12,1.5423e-08,1.5750505,1.5525148,1.5299705,1.5074094,1.4848229,1.4622026,1.4395399,1.4168266,1.394054,1.3712138,1.348297,1.3252965,1.3022026,1.279007,1.2557017,1.232278,1.2087273,1.1850414,1.16121165,1.1372297,1.1130871,1.0887753,1.06428588,1.0396104,1.0147405,0.9896675,0.9643832,0.9388789,0.9131463,0.8871769,0.860962,0.8344939,0.807763,0.780762,0.75348187,0.725914,0.69805,0.669882,0.641401,0.612598,0.5834658,0.5539951,0.524178,0.494005,0.463469,0.43256,0.401271,0.369593,0.3375177,0.305036,0.27214,0.23884,0.20527,0.17165,0.13821,0.10515,0.07269,0.041053,0.010454,-0.018891,-0.046765,-0.072951,-0.097231,-0.11939,-0.13921,-0.15647,-0.17096,-0.18255,-0.19146,-0.19799,-0.20243,-0.20511,-0.2063,-0.20632,-0.20546,-0.20402,-0.20232,-0.20064,-0.19929,-0.19857,-0.19878,-0.20015,-0.20267,-0.20628,-0.21092,-0.21653,-0.22304,-0.2304,-0.23854,-0.24742,-0.25695,-0.26709,-0.27778,-0.28895,-0.30054,-0.312499,-0.324758,-0.33726,-0.349941,-0.3627441,-0.3756078
1,CD37,0,1,33.055,1.1639e-06,0.0087989,0.4231542,0.4265478,0.4299091,0.4332057,0.4364053,0.4394756,0.4423841,0.4450986,0.4475867,0.4498161,0.451754,0.4533694,0.4546285,0.4555,0.4559503,0.4559483,0.4554611,0.4544564,0.45290204,0.4507655,0.4480145,0.4446167,0.44053977,0.4357513,0.4302191,0.4239107,0.4167938,0.408836,0.400005,0.3902686,0.379594,0.3679497,0.355303,0.341621,0.3268714,0.311023,0.294042,0.275897,0.256556,0.235985,0.2141534,0.1910281,0.166577,0.140767,0.113567,0.084944,0.054865,0.023299,-0.0097867,-0.044425,-0.080648,-0.11846,-0.15755,-0.19748,-0.23778,-0.27801,-0.3177,-0.356399,-0.393652,-0.429003,-0.461996,-0.492174,-0.519083,-0.54226,-0.56126,-0.57563,-0.5849,-0.5888,-0.58779,-0.58249,-0.5735,-0.56145,-0.54696,-0.53064,-0.51311,-0.49499,-0.47689,-0.45944,-0.44325,-0.42895,-0.41713,-0.40828,-0.40235,-0.39917,-0.39861,-0.40049,-0.40468,-0.41102,-0.41935,-0.42952,-0.44137,-0.45476,-0.46954,-0.485536,-0.50261,-0.520602,-0.539362,-0.55874,-0.57857,-0.5987113,-0.6190056
2,STMN1,0,0,38.292,9.755e-08,0.00073768,-0.2528393,-0.2187084,-0.1845865,-0.1504826,-0.1164057,-0.0823648,-0.0483688,-0.0144269,0.0194521,0.0532591,0.086985,0.1206211,0.1541582,0.187587,0.2208994,0.2540856,0.2871368,0.320044,0.35279832,0.38539065,0.417812,0.4500535,0.48210595,0.5139605,0.5456081,0.5770398,0.6082465,0.6392193,0.6699491,0.7004271,0.730644,0.7605912,0.790259,0.81964,0.84872291,0.8775,0.905963,0.934101,0.961907,0.989371,1.0164838,1.0432368,1.069621,1.095627,1.121246,1.14647,1.171288,1.195693,1.2196748,1.243225,1.266334,1.28897,1.31089,1.33172,1.35112,1.36872,1.38416,1.397077,1.407114,1.413911,1.417106,1.416339,1.411249,1.40148,1.38666,1.36644,1.34046,1.30857,1.27147,1.23003,1.18516,1.13773,1.08864,1.03878,0.98902,0.94027,0.89341,0.84933,0.80891,0.77304,0.74262,0.71828,0.6999,0.68714,0.6797,0.67727,0.67953,0.68617,0.69688,0.71134,0.72925,0.75028,0.77413,0.800479,0.82902,0.859439,0.891421,0.92466,0.958828,0.9936262,1.0287374
3,HMGB1,0,0,40.254,3.8348e-08,0.00029006,-0.6629989,-0.6454614,-0.6279117,-0.6103374,-0.5927261,-0.5750656,-0.5573436,-0.5395476,-0.5216656,-0.503685,-0.485594,-0.4673793,-0.4490294,-0.430532,-0.4118743,-0.3930444,-0.3740298,-0.3548183,-0.33539757,-0.31575523,-0.295879,-0.2757566,-0.25537571,-0.234724,-0.2137892,-0.1925589,-0.1710209,-0.1491629,-0.1269725,-0.1044374,-0.081545,-0.058284,-0.034641,-0.010604,0.01383874,0.0387,0.063993,0.089728,0.115919,0.142578,0.1697168,0.197348,0.225484,0.254137,0.283319,0.313043,0.34332,0.374164,0.405587,0.4376,0.470217,0.50342,0.53694,0.57038,0.60332,0.63536,0.66609,0.695118,0.722024,0.746406,0.767858,0.785974,0.800348,0.81057,0.81624,0.81695,0.8123,0.80204,0.78658,0.76647,0.74228,0.71455,0.68386,0.65074,0.61577,0.5795,0.54248,0.50527,0.46842,0.43251,0.39807,0.36554,0.33491,0.30608,0.27895,0.25342,0.22939,0.20675,0.18542,0.16528,0.14624,0.12821,0.11107,0.094729,0.07909,0.064051,0.049511,0.03537,0.02153,0.0078892,-0.0056514
4,ADA,0,0,38.906,7.2846e-08,0.00055093,0.4115887,0.3928741,0.3742289,0.3557224,0.3374242,0.3194034,0.3017296,0.2844721,0.2677003,0.2514836,0.235891,0.2209929,0.2068577,0.193555,0.1811545,0.1697253,0.1593369,0.1500586,0.14195992,0.13511012,0.1295786,0.1254348,0.1227481,0.1215878,0.1220234,0.1241243,0.1279597,0.1335991,0.141112,0.1505676,0.162035,0.1755846,0.191285,0.209205,0.22941558,0.251985,0.276983,0.304478,0.334541,0.367241,0.402646,0.4408269,0.481853,0.525792,0.572716,0.622692,0.67579,0.732081,0.7916321,0.854514,0.920796,0.99047,1.06278,1.13661,1.21082,1.28428,1.35585,1.424398,1.488787,1.547884,1.600555,1.645665,1.68208,1.70866,1.72428,1.72781,1.71809,1.69447,1.65801,1.61019,1.55251,1.48645,1.41349,1.33513,1.25284,1.16812,1.08246,0.99734,0.91424,0.83465,0.76007,0.69161,0.62921,0.57255,0.52131,0.47517,0.43381,0.39692,0.36417,0.33525,0.30984,0.28761,0.26825,0.251447,0.23687,0.224212,0.213145,0.20335,0.194518,0.1863203,0.1784416
5,H2AFY,0,0,49.818,3.9406e-10,2.9815e-06,-0.2431406,-0.2291314,-0.2151101,-0.2010647,-0.186983,-0.1728531,-0.1586627,-0.1443999,-0.1300525,-0.1156085,-0.101056,-0.0863824,-0.0715761,-0.056625,-0.0415165,-0.0262392,-0.0107807,0.0048711,0.02072816,0.03680263,0.0531066,0.0696521,0.08645123,0.1035161,0.1208587,0.1384912,0.1564256,0.1746741,0.1932486,0.2121614,0.231424,0.2510497,0.271049,0.291436,0.31222035,0.333416,0.355034,0.377087,0.399587,0.422545,0.4459751,0.469888,0.494296,0.519211,0.544646,0.570612,0.597122,0.624187,0.6518197,0.680032,0.708837,0.73824,0.76822,0.79872,0.8297,0.86111,0.89291,0.92504,0.957464,0.990131,1.022995,1.056008,1.089123,1.12229,1.15547,1.18861,1.22167,1.25454,1.28692,1.31845,1.34878,1.37755,1.40442,1.42902,1.45099,1.47,1.48568,1.49767,1.50562,1.50918,1.508,1.50183,1.49085,1.47531,1.45547,1.43157,1.40388,1.37264,1.3381,1.30053,1.26018,1.21729,1.17212,1.124922,1.07595,1.025466,0.973712,0.92095,0.867419,0.8133859,0.7590995
6,CD81,0,1,65.474,2.0443e-13,1.5481e-09,0.091664,0.0791058,0.0665853,0.0541402,0.0418084,0.0296275,0.0176353,0.0058695,-0.0056322,-0.0168319,-0.027692,-0.0381749,-0.0482427,-0.057858,-0.066982,-0.0755781,-0.0836082,-0.0910345,-0.09781932,-0.10392493,-0.1093136,-0.1139475,-0.11778907,-0.1208004,-0.1229439,-0.1241817,-0.1244762,-0.1237896,-0.1220841,-0.1193221,-0.115466,-0.1104774,-0.104319,-0.096954,-0.08834263,-0.078449,-0.067234,-0.054661,-0.040692,-0.025289,-0.0084139,0.0099703,0.029902,0.051418,0.074556,0.099356,0.125853,0.154086,0.1840921,0.21591,0.249577,0.28512,0.32254,0.36179,0.40284,0.44564,0.49017,0.536384,0.584245,0.633717,0.684765,0.737351,0.791438,0.84699,0.90397,0.96234,1.02206,1.08295,1.14419,1.20486,1.26401,1.32069,1.37398,1.42292,1.46658,1.50402,1.53429,1.55646,1.56957,1.5727,1.56491,1.54554,1.51499,1.47384,1.42268,1.3621,1.29268,1.21503,1.12971,1.03733,0.93848,0.83373,0.72369,0.608938,0.49006,0.367654,0.242301,0.11459,-0.014882,-0.1455339,-0.2767749
7,LAT2,0,0,60.986,1.8e-12,1.3626e-08,0.3717114,0.3546804,0.337693,0.3207931,0.3040242,0.2874301,0.2710544,0.254941,0.2391333,0.2236753,0.20861,0.1939825,0.1798353,0.166212,0.1531574,0.1407141,0.1289263,0.1178376,0.10749167,0.09793222,0.089203,0.0813475,0.07440971,0.0684331,0.0634615,0.0595385,0.0567079,0.0550133,0.0544984,0.0552069,0.057183,0.060469,0.06511,0.071149,0.07863012,0.087597,0.098093,0.110161,0.123847,0.139193,0.1562427,0.1750404,0.195629,0.218054,0.242357,0.268582,0.296774,0.326976,0.359231,0.393584,0.430077,0.46875,0.50958,0.55251,0.5975,0.64449,0.69343,0.74427,0.796954,0.851431,0.907651,0.96556,1.025106,1.08624,1.14891,1.21305,1.27863,1.34545,1.41281,1.47986,1.54578,1.60974,1.6709,1.72843,1.7815,1.82927,1.87092,1.9056,1.9325,1.95077,1.95958,1.95837,1.94746,1.92736,1.89859,1.86165,1.81705,1.76531,1.70693,1.64243,1.57232,1.49709,1.41728,1.333381,1.24591,1.155376,1.062291,0.96716,0.870505,0.7728255,0.6746358
8,TCF4,1,0,34.98,4.689e-07,0.0035453,1.7765105,1.7394213,1.7023642,1.6653712,1.6284745,1.5917061,1.5550981,1.5186825,1.4824915,1.4465571,1.410911,1.3755865,1.3406145,1.306027,1.2718573,1.2381363,1.2048964,1.1721699,1.13998861,1.10838477,1.0773904,1.0470376,1.01735846,0.988385,0.9601494,0.9326836,0.9060198,0.8801901,0.8552264,0.8311609,0.808026,0.7858528,0.764674,0.744522,0.72542908,0.707426,0.690546,0.674821,0.660283,0.646964,0.6348954,0.6241103,0.61464,0.606518,0.599774,0.594443,0.590554,0.588142,0.5872365,0.587871,0.590078,0.5939,0.59952,0.60718,0.61712,0.62959,0.64483,0.663089,0.684612,0.709644,0.73843,0.771214,0.808241,0.84976,0.89601,0.94723,1.00369,1.06539,1.13152,1.20106,1.273,1.34631,1.41999,1.493,1.56434,1.63298,1.69791,1.7581,1.81255,1.86023,1.90012,1.9315,1.9546,1.96985,1.9777,1.97857,1.97291,1.96115,1.94372,1.92106,1.89361,1.8618,1.82607,1.786851,1.74458,1.699701,1.65264,1.60384,1.553724,1.5027411,1.4513222
9,ZCCHC7,0,0,156.838,6.9648e-33,5.2772e-29,-0.0880201,-0.0882645,-0.0884715,-0.0886037,-0.0886235,-0.0884935,-0.0881763,-0.0876345,-0.0868305,-0.0857271,-0.084287,-0.0824718,-0.0802451,-0.077569,-0.0744063,-0.0707194,-0.0664709,-0.0616232,-0.0561391,-0.04998102,-0.0431116,-0.0354932,-0.02708867,-0.0178604,-0.0077709,0.0032171,0.0151412,0.0280388,0.0419473,0.0569042,0.072947,0.0901127,0.108439,0.127964,0.14872443,0.170758,0.194102,0.218793,0.24487,0.27237,0.3013301,0.3317878,0.363781,0.397346,0.432521,0.469344,0.507852,0.548082,0.5900715,0.633858,0.67948,0.72698,0.77642,0.82791,0.88152,0.93735,0.99548,1.056017,1.119038,1.184636,1.2529,1.323921,1.397789,1.47459,1.55442,1.63737,1.72352,1.81279,1.9044,1.99742,2.09091,2.18393,2.27556,2.36485,2.45087,2.53268,2.60935,2.67994,2.74351,2.79913,2.84587,2.88306,2.91101,2.93019,2.9411,2.94421,2.94003,2.92903,2.9117,2.88853,2.86,2.82661,2.78883,2.747163,2.70209,2.654086,2.603653,2.55127,2.497432,2.4426181,2.387317
10,VPREB1,0,1,62.295,9.5513e-13,7.2313e-09,-0.1639596,-0.1496366,-0.1353199,-0.1210161,-0.1067316,-0.0924728,-0.0782462,-0.0640581,-0.049915,-0.0358234,-0.02179,-0.0078201,0.0060787,0.0199,0.0336384,0.0472865,0.0608381,0.0742869,0.08762644,0.10085023,0.1139519,0.126925,0.13976305,0.1524597,0.1650085,0.177403,0.1896368,0.2017035,0.2135966,0.2253097,0.236836,0.2481701,0.259305,0.270233,0.28095013,0.291448,0.301721,0.311763,0.321567,0.331126,0.3404352,0.3494869,0.358275,0.366793,0.375035,0.382994,0.390663,0.398037,0.4051087,0.411872,0.41832,0.42451,0.43103,0.43877,0.44861,0.46145,0.47817,0.499659,0.526799,0.56048,0.601589,0.651013,0.709639,0.77835,0.85805,0.9496,1.0539,1.17133,1.30028,1.43869,1.58448,1.7356,1.88998,2.04555,2.20024,2.35199,2.49872,2.63838,2.76889,2.88819,2.99422,3.08546,3.16228,3.22545,3.27572,3.31385,3.3406,3.35673,3.363,3.36016,3.34898,3.33021,3.30462,3.27295,3.23597,3.194444,3.149122,3.10076,3.050132,2.9979816,2.9450726
