,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,statisticsValue,P-value,Adj P-value
508,PNRC1,0.004,-0.102,-0.224,-0.409,-0.365,-0.373,-0.331,-0.4,-0.393,0.142,-0.247,103.778,9.53e-18,6.16e-14
509,POLE3,-0.298,-0.299,-0.124,-0.208,-0.03,0.15,-0.122,-0.128,-0.197,-0.267,-0.134,61.458,1.92e-09,1.2e-05
510,POMP,-0.282,-0.31,-0.175,-0.226,0.003,0.044,0.056,0.151,-0.155,-0.316,-0.125,70.549,3.47e-11,2.21e-07
511,PPA1,-0.253,-0.35,-0.131,-0.273,-0.054,0.26,-0.086,-0.338,-0.321,-0.421,-0.185,93.387,1.14e-15,7.32e-12
512,PPIA,-0.563,-0.408,-0.028,0.173,0.464,0.482,0.537,0.693,0.018,-0.368,0.716,667.476,6e-137,4.05e-133
513,PPM1G,-0.301,-0.303,-0.183,-0.155,-0.015,0.123,-0.088,0.001,-0.266,-0.3,-0.206,60.383,3.07e-09,1.92e-05
514,PPP1CA,-0.302,-0.288,-0.201,-0.209,-0.024,-0.042,-0.015,0.075,-0.248,-0.176,-0.085,49.589,3.18e-07,0.00196
515,PPP1CC,-0.287,-0.31,-0.121,-0.023,-0.045,0.119,-0.049,-0.081,-0.239,-0.319,-0.234,62.12,1.44e-09,9.02e-06
516,PPP1R18,-0.23,-0.209,-0.21,-0.363,-0.4,-0.289,-0.023,0.175,0.213,-0.048,0.334,117.981,1.3e-20,8.44e-17
517,PRAM1,-0.221,-0.222,-0.139,-0.285,-0.285,0.42,0.062,-0.171,-0.197,-0.087,-0.221,94.546,6.69e-16,4.31e-12
518,PRDX1,-0.075,-0.447,0.037,-0.249,-0.53,-0.412,-0.081,-0.414,0.186,-0.45,0.008,181.732,1.02e-33,6.76e-30
519,PRDX2,-0.271,-0.304,-0.142,-0.206,0.282,-0.11,-0.135,-0.13,-0.248,-0.288,-0.229,47.016,9.38e-07,0.00577
520,PRDX3,-0.295,-0.309,-0.137,-0.148,0.099,0.197,0.016,-0.02,-0.287,-0.351,-0.248,88.35,1.14e-14,7.3e-11
521,PRKACB,-0.122,0.08,-0.223,0.006,-0.137,-0.353,-0.336,-0.369,-0.399,-0.308,-0.361,81.262,2.84e-13,1.82e-09
522,PRKAR2B,-0.186,-0.15,-0.187,1.568,0.599,-0.122,-0.186,-0.148,-0.21,-0.165,-0.194,123.307,1.08e-21,7.02e-18
523,PRKCB,-0.242,-0.317,-0.202,-0.386,-0.381,-0.189,-0.012,0.162,0.225,-0.023,0.121,85.814,3.61e-14,2.31e-10
524,PRKDC,-0.288,-0.296,-0.172,-0.155,0.146,0.143,-0.062,-0.004,-0.186,-0.335,-0.187,74.123,7.05e-12,4.48e-08
525,PRKG2,-0.056,-0.149,-0.185,-0.283,-0.266,-0.301,-0.352,-0.294,-0.352,-0.319,-0.341,54.319,4.23e-08,0.000263
526,PROM1,-0.18,-0.282,-0.049,-0.332,-0.336,-0.126,-0.115,-0.303,-0.253,-0.264,-0.27,43.109,4.76e-06,0.0291
527,PRPF19,-0.298,-0.248,-0.198,-0.038,0.063,0.104,-0.25,-0.106,-0.27,-0.337,-0.201,51.083,1.69e-07,0.00104
528,PRSS57,-0.249,-0.267,-0.088,-0.421,-0.148,1.123,-0.057,-0.331,-0.328,-0.478,-0.417,308.135,2.96e-60,1.98e-56
529,PRTN3,-0.083,-0.083,-0.081,-0.086,-0.086,0.463,-0.086,-0.068,-0.086,-0.086,-0.086,85.99,3.33e-14,2.13e-10
530,PSMA2,-0.285,-0.246,-0.186,-0.016,-0.053,0.045,0.003,-0.049,0.18,-0.282,-0.127,46.007,1.43e-06,0.00879
531,PSMA4,-0.32,-0.289,-0.182,-0.133,-0.07,0.092,-0.02,0.063,-0.287,-0.285,-0.143,64.891,4.25e-10,2.68e-06
532,PSMA5,-0.304,-0.288,-0.179,-0.186,-0.045,0.123,0.017,-0.003,-0.139,-0.338,-0.072,68.476,8.72e-11,5.53e-07
533,PSMA7,-0.293,-0.279,-0.19,-0.032,0.021,0.095,0.091,0.006,-0.124,-0.325,-0.217,65.443,3.33e-10,2.1e-06
534,PSMB1,-0.269,-0.222,-0.178,-0.131,0.092,0.069,-0.156,-0.077,-0.462,-0.295,-0.223,42.085,7.24e-06,0.0442
535,PSMB2,-0.29,-0.259,-0.186,-0.158,-0.043,0.072,-0.031,0.081,-0.244,-0.289,-0.166,54.108,4.63e-08,0.000288
536,PSMB4,-0.316,-0.229,-0.154,-0.04,0.087,0.092,-0.097,-0.006,-0.18,-0.306,-0.104,64.634,4.76e-10,3e-06
537,PSME1,-0.169,-0.31,-0.165,-0.386,-0.335,-0.143,0.036,-0.15,-0.094,-0.278,0.296,68.052,1.05e-10,6.66e-07
538,PSME2,-0.282,-0.301,-0.189,-0.305,-0.131,0.052,0.084,-0.052,-0.261,-0.31,-0.039,55.86,2.18e-08,0.000136
539,PTBP1,-0.327,-0.255,-0.187,-0.16,0.097,0.187,0.084,0.102,-0.276,-0.364,-0.096,101.885,2.28e-17,1.48e-13
540,PTGER4,-0.05,-0.299,-0.207,-0.356,-0.347,-0.125,-0.184,-0.059,-0.198,-0.234,-0.223,42.997,4.98e-06,0.0305
541,PTGS1,-0.025,-0.114,-0.276,0.198,-0.134,-0.328,-0.334,-0.314,-0.351,-0.322,-0.318,82.077,1.96e-13,1.26e-09
542,PTMA,-0.609,-0.336,-0.194,0.175,0.364,0.341,0.599,0.792,0.317,0.072,1.16,867.43,6.5e-180,4.4e-176
543,PTRHD1,-0.293,-0.233,-0.147,-0.03,-0.059,0.03,-0.056,-0.021,-0.165,-0.276,-0.23,42.09,7.23e-06,0.0441
544,PYCARD,-0.232,-0.301,-0.167,-0.406,-0.307,0.11,-0.114,0.066,-0.015,-0.283,-0.24,52.903,7.76e-08,0.000482
545,RAB27A,-0.234,-0.282,-0.132,-0.293,-0.287,0.26,-0.06,-0.149,-0.188,-0.209,-0.205,64.167,5.85e-10,3.68e-06
546,RAB32,-0.23,-0.246,-0.166,-0.157,-0.239,0.438,-0.201,-0.246,-0.264,-0.23,-0.258,87.803,1.46e-14,9.35e-11
547,RAC1,-0.165,-0.311,-0.123,-0.002,-0.113,-0.065,-0.09,0.257,-0.278,-0.28,-0.427,71.118,2.7e-11,1.71e-07
548,RAC2,-0.236,-0.015,-0.187,0.054,-0.252,-0.174,-0.162,0.267,0.174,-0.323,-0.301,57.347,1.15e-08,7.16e-05
549,RACK1,0.101,0.132,-0.057,-0.388,-0.293,-0.406,-0.184,-0.556,-0.169,0.043,-0.116,131.322,2.51e-23,1.64e-19
550,RAD21,-0.281,-0.265,-0.151,-0.093,-0.001,-0.093,-0.115,0.143,-0.149,-0.238,-0.243,44.016,3.27e-06,0.02
551,RAN,-0.376,-0.358,-0.099,-0.162,0.396,0.393,0.084,0.14,-0.251,-0.53,-0.076,232.664,2.37e-44,1.58e-40
552,RANBP1,-0.353,-0.36,-0.156,-0.047,0.082,0.192,-0.023,0.041,-0.169,-0.41,-0.081,122.49,1.58e-21,1.03e-17
553,RAP1B,-0.248,-0.084,-0.235,1.34,-0.132,-0.158,-0.246,-0.26,-0.207,-0.231,-0.278,102.401,1.8e-17,1.16e-13
554,RASGRP2,-0.278,-0.284,-0.215,-0.238,-0.193,0.27,-0.088,-0.017,-0.008,-0.265,0.04,85.61,3.96e-14,2.53e-10
555,RBBP4,-0.337,-0.293,-0.151,-0.184,-0.093,0.057,-0.006,0.199,-0.334,-0.237,-0.026,88.644,9.94e-15,6.38e-11
556,RBBP7,-0.315,-0.315,-0.134,-0.185,0.106,0.079,-0.009,-0.026,-0.403,-0.345,-0.259,76.665,2.25e-12,1.44e-08
557,RBM3,-0.431,-0.175,-0.146,0.214,0.081,0.17,0.104,0.246,0.116,-0.35,0.135,185.422,1.75e-34,1.16e-30
558,RBPMS,0.003,-0.282,-0.152,-0.372,-0.372,-0.325,-0.287,-0.354,-0.334,-0.267,-0.316,78.436,1.02e-12,6.49e-09
559,RBX1,-0.277,-0.284,-0.173,-0.15,-0.004,-0.013,-0.036,0.043,-0.272,-0.306,-0.175,43.689,3.74e-06,0.0229
560,RCC2,-0.327,-0.26,-0.162,-0.086,-0.013,0.151,-0.111,-0.017,-0.23,-0.37,-0.15,71.635,2.14e-11,1.36e-07
561,RCSD1,-0.24,-0.305,-0.16,-0.337,-0.32,-0.101,-0.029,-0.174,-0.096,-0.174,0.231,66.71,1.91e-10,1.21e-06
562,RGS1,-0.157,-0.124,-0.124,-0.138,-0.147,-0.126,-0.06,-0.047,-0.135,0.287,-0.085,42.489,6.14e-06,0.0375
563,RHOA,-0.313,-0.27,-0.169,0.157,-0.021,-0.006,-0.023,0.336,0.109,-0.11,0.02,94.879,5.74e-16,3.7e-12
564,RNASE2,-0.135,-0.118,-0.101,-0.137,-0.127,1.172,-0.085,-0.07,-0.137,-0.13,-0.121,209.612,1.59e-39,1.06e-35
565,RNASE6,-0.148,-0.134,-0.127,-0.067,-0.082,-0.063,-0.081,0.494,-0.082,-0.096,-0.05,69.392,5.81e-11,3.68e-07
566,RNASEH2B,-0.334,-0.378,-0.154,-0.306,-0.163,0.105,0.2,0.247,0.348,-0.159,0.025,142.545,1.27e-25,8.3e-22
567,RNASET2,-0.182,-0.403,-0.194,-0.466,-0.281,0.234,0.112,-0.058,-0.17,-0.071,0.135,121.746,2.24e-21,1.46e-17
568,RNF130,-0.356,0.048,-0.234,1.07,0.033,-0.134,-0.127,-0.101,-0.03,-0.316,-0.234,139.518,5.29e-25,3.46e-21
569,RNF24,-0.261,-0.131,-0.176,0.149,0.251,0.012,-0.19,-0.346,-0.331,-0.363,-0.353,71.74,2.04e-11,1.3e-07
570,RNPS1,-0.295,-0.289,-0.193,-0.279,0.069,0.053,-0.079,-0.058,-0.161,-0.269,-0.257,45.689,1.63e-06,0.01
571,RP11-620J15.3,-0.413,-0.016,-0.156,0.476,0.79,0.101,-0.023,-0.084,-0.028,-0.467,-0.168,238.269,1.58e-45,1.05e-41
572,RPL10,0.176,0.497,-0.048,-0.17,-0.067,-0.714,-0.192,-0.789,-0.307,-0.75,0.172,476.833,3.92e-96,2.64e-92
573,RPL10A,0.108,0.131,0.156,-0.375,-0.213,-0.306,-0.105,-0.504,-0.359,-0.846,-0.372,278.769,4.73e-54,3.16e-50
574,RPL11,0.444,0.293,-0.054,-0.565,-0.565,-0.604,-0.427,-0.907,-0.557,-0.41,-0.513,638.845,8.3e-131,5.61e-127
575,RPL12,0.19,0.097,-0.014,-0.25,-0.102,-0.267,-0.183,-0.639,-0.387,-0.681,-0.289,233.59,1.52e-44,1.01e-40
576,RPL13,0.48,0.256,0.001,-0.523,-0.322,-0.51,-0.316,-0.997,-0.315,-0.833,-0.526,724.499,3.45e-149,2.33e-145
577,RPL13A,0.225,0.366,-0.041,-0.346,-0.254,-0.683,-0.343,-0.848,0.007,-0.269,-0.301,398.09,2.4e-79,1.61e-75
578,RPL14,-0.127,-0.077,0.031,-0.31,0.262,0.346,0.179,-0.326,0.122,-0.594,-0.091,131.185,2.68e-23,1.75e-19
579,RPL15,0.131,0.268,0.126,0.109,-0.183,-0.427,-0.035,-0.555,-0.182,-0.953,-0.521,382.053,6.19e-76,4.15e-72
580,RPL17,0.139,0.09,0.082,-0.389,-0.186,-0.15,-0.112,-0.603,-0.24,-0.385,-0.5,184.787,2.37e-34,1.57e-30
581,RPL18,0.106,0.151,0.087,-0.195,-0.211,-0.436,-0.202,-0.669,-0.224,-0.483,-0.335,219.291,1.5e-41,9.99e-38
582,RPL18A,-0.005,0.116,0.211,-0.208,0.03,-0.205,0.033,-0.535,-0.189,-0.789,-0.435,264.589,4.62e-51,3.08e-47
583,RPL19,0.064,0.271,-0.02,-0.198,-0.169,-0.293,-0.105,-0.451,0.105,-0.69,-0.242,194.758,2e-36,1.32e-32
584,RPL21,0.239,-0.003,-0.096,-0.311,-0.223,-0.209,-0.175,-0.422,-0.063,-0.389,-0.307,148.639,7.1e-27,4.66e-23
585,RPL22,0.038,0.064,0.089,-0.22,-0.177,-0.201,-0.269,-0.531,-0.251,-0.483,-0.304,132.075,1.76e-23,1.15e-19
586,RPL22L1,-0.234,-0.249,-0.115,-0.339,0.041,0.034,-0.034,-0.207,-0.441,-0.439,-0.212,51.925,1.18e-07,0.00073
587,RPL23,0.52,0.189,0.014,-0.67,-0.602,-0.638,-0.326,-0.776,-0.247,-0.664,-0.527,710.644,3.26e-146,2.2e-142
588,RPL23A,0.167,0.062,-0.028,-0.331,-0.306,-0.265,0.031,-0.321,-0.443,-0.42,-0.243,122.609,1.49e-21,9.72e-18
589,RPL24,0.261,0.254,-0.097,-0.094,-0.131,-0.463,-0.466,-0.564,-0.283,-0.555,-0.403,326.013,4.86e-64,3.25e-60
590,RPL26,0.331,0.136,0.07,-0.797,-0.505,-0.316,-0.139,-0.73,-0.324,-0.596,-0.568,437.472,9.81e-88,6.59e-84
591,RPL27,0.005,0.115,-0.036,-0.235,-0.121,-0.136,-0.168,-0.297,-0.208,-0.385,-0.304,66.339,2.25e-10,1.42e-06
592,RPL27A,-0.069,0.228,-0.085,-0.023,0.191,0.06,0.238,-0.378,-0.323,-0.395,-0.327,114.381,6.96e-20,4.51e-16
593,RPL28,0.055,-0.128,0.031,-0.148,-0.248,-0.054,-0.111,-0.313,0.308,-0.309,-0.005,51.271,1.56e-07,0.000964
594,RPL29,0.027,0.058,0.151,-0.208,-0.175,-0.11,-0.061,-0.495,-0.266,-0.654,-0.512,210.455,1.06e-39,7.03e-36
595,RPL3,0.196,-0.033,0.238,-0.531,-0.311,-0.263,0.062,-0.679,-0.278,-0.786,-0.358,356.351,1.79e-70,1.2e-66
596,RPL30,0.479,0.215,-0.019,-0.691,-0.82,-0.581,-0.326,-0.771,-0.622,-0.287,-0.498,631.723,2.8e-129,1.89e-125
597,RPL31,0.451,0.238,0.157,-0.565,-0.442,-0.542,-0.289,-0.598,-0.553,-1.0,-0.781,777.641,1.32e-160,8.93e-157
598,RPL32,0.214,0.168,0.071,-0.468,-0.286,-0.59,-0.295,-0.688,-0.178,-0.446,-0.366,312.756,3.12e-61,2.08e-57
599,RPL34,0.513,0.222,-0.084,-0.756,-0.657,-0.77,-0.494,-0.841,-0.56,-0.45,-0.637,814.419,1.64e-168,1.11e-164
600,RPL35,0.037,-0.095,0.141,-0.372,0.029,0.033,0.114,-0.118,-0.424,-0.853,-0.493,227.946,2.31e-43,1.54e-39
601,RPL35A,0.529,0.364,0.047,-0.703,-0.686,-0.748,-0.579,-0.932,-0.609,-0.65,-0.749,997.535,6.35e-208,4.3e-204
602,RPL36,0.104,-0.029,0.023,-0.201,0.1,0.023,-0.081,-0.578,-0.128,-0.627,-0.59,217.564,3.46e-41,2.3e-37
603,RPL36A,0.156,0.121,0.07,-0.287,-0.113,-0.294,-0.081,-0.544,-0.052,-1.112,-0.298,330.217,6.25e-65,4.18e-61
604,RPL36AL,0.157,0.019,-0.309,-0.189,-0.212,-0.323,-0.403,-0.198,-0.23,-0.144,-0.397,154.229,5.02e-28,3.3e-24
605,RPL37,0.038,0.26,0.059,-0.539,-0.276,-0.269,-0.089,-0.279,0.099,-0.505,-0.319,156.825,1.46e-28,9.63e-25
606,RPL37A,-0.038,0.424,0.131,0.018,0.387,-0.104,0.075,-0.38,-0.033,-1.07,-0.79,514.97,2.79e-104,1.88e-100
607,RPL38,0.374,0.239,0.011,-0.401,-0.334,-0.405,-0.587,-0.745,-0.485,-0.619,-0.657,539.135,1.89e-109,1.28e-105
608,RPL39,0.29,0.116,-0.095,-0.606,-0.596,-0.64,-0.451,-0.694,-0.427,-0.154,-0.109,367.117,9.25e-73,6.2e-69
609,RPL4,-0.146,0.068,0.15,0.137,0.661,0.048,-0.063,-0.308,-0.481,-0.809,-0.26,234.03,1.23e-44,8.16e-41
610,RPL41,0.334,0.128,-0.037,0.038,0.177,-0.457,-0.31,-0.715,-0.585,-0.615,-0.266,345.854,3.02e-68,2.02e-64
611,RPL5,0.154,0.294,0.091,-0.271,-0.306,-0.372,-0.282,-0.81,-0.43,-0.659,-0.313,342.351,1.67e-67,1.12e-63
612,RPL6,-0.32,0.131,0.046,0.007,-0.042,-0.087,0.224,-0.182,0.346,-0.472,0.05,139.572,5.16e-25,3.37e-21
613,RPL7,0.408,0.297,0.146,-0.532,-0.423,-0.319,-0.307,-0.782,-0.602,-0.98,-0.847,795.059,2.38e-164,1.61e-160
614,RPL7A,0.254,0.212,0.193,-0.145,-0.055,-0.145,-0.2,-0.812,-0.496,-1.147,-0.764,641.269,2.51e-131,1.69e-127
615,RPL8,0.132,-0.156,-0.03,-0.436,0.225,-0.127,-0.205,-0.393,-0.124,-0.42,-0.369,122.778,1.38e-21,8.99e-18
616,RPL9,0.232,-0.048,-0.046,-0.517,-0.464,-0.258,-0.184,-0.573,-0.141,-0.227,-0.361,193.024,4.59e-36,3.03e-32
617,RPL9P9,0.057,0.068,-0.293,-0.28,-0.305,-0.408,-0.193,-0.46,-0.325,-0.009,-0.169,111.7,2.42e-19,1.57e-15
618,RPLP0,-0.319,-0.233,0.138,0.014,0.15,0.01,0.41,-0.269,0.191,-0.443,0.341,205.994,9.06e-39,6.01e-35
619,RPLP1,0.017,0.003,0.236,-0.238,-0.249,-0.284,0.213,-0.134,0.324,-0.875,-0.225,220.758,7.42e-42,4.93e-38
620,RPLP2,0.252,0.061,-0.11,-0.244,-0.321,-0.374,-0.204,-0.348,0.131,-0.166,-0.296,158.219,7.55e-29,4.97e-25
621,RPN1,-0.248,-0.242,-0.164,-0.115,-0.012,0.203,-0.178,0.058,-0.229,-0.201,-0.171,58.142,8.13e-09,5.08e-05
622,RPS10,0.219,0.105,0.015,-0.266,-0.289,-0.555,-0.262,-0.513,-0.149,-0.405,-0.427,251.896,2.17e-48,1.44e-44
623,RPS11,-0.014,0.496,0.013,-0.33,0.166,-0.551,-0.321,-0.386,-0.202,-0.188,-0.357,254.085,7.51e-49,5.01e-45
624,RPS12,0.362,0.142,-0.022,-0.455,-0.397,-0.518,-0.075,-0.559,0.05,-0.76,-0.206,380.872,1.1e-75,7.4e-72
625,RPS13,0.062,0.152,0.017,-0.498,-0.313,-0.177,-0.154,-0.374,-0.216,-0.46,-0.249,122.725,1.41e-21,9.21e-18
626,RPS14,0.348,0.457,0.117,-0.389,-0.139,-0.605,-0.431,-0.834,-0.384,-1.041,-0.848,881.511,6.06e-183,4.11e-179
627,RPS15,0.127,0.034,0.07,-0.373,-0.399,-0.34,0.092,-0.381,0.137,-0.441,-0.391,164.419,3.96e-30,2.61e-26
628,RPS15A,0.131,0.217,0.02,-0.459,-0.285,-0.553,-0.274,-0.706,-0.142,-0.21,-0.252,245.733,4.28e-47,2.85e-43
629,RPS16,-0.333,-0.052,0.064,-0.176,0.277,0.222,0.292,-0.008,0.327,-0.354,0.064,149.067,5.8e-27,3.81e-23
630,RPS17,0.016,0.072,0.137,-0.292,0.087,-0.051,0.135,-0.509,-0.255,-1.01,-0.402,288.076,5.14e-56,3.43e-52
631,RPS18,0.491,0.174,0.164,-0.668,-0.239,-0.595,-0.419,-0.946,-0.492,-1.142,-0.684,938.551,3.2e-195,2.17e-191
632,RPS19,-0.023,-0.278,0.208,-0.379,-0.404,-0.275,0.26,-0.526,-0.078,-0.358,0.288,205.719,1.03e-38,6.86e-35
633,RPS2,0.277,0.191,0.346,-0.557,-0.286,-0.451,-0.278,-0.964,-0.583,-1.293,-0.643,876.424,7.54e-182,5.11e-178
634,RPS20,0.144,0.194,0.007,-0.402,-0.308,-0.241,0.029,-0.147,-0.019,-0.725,-0.495,217.385,3.77e-41,2.5e-37
635,RPS21,-0.009,-0.106,0.159,-0.561,-0.103,-0.268,0.184,-0.089,0.295,-0.559,-0.323,140.129,3.97e-25,2.59e-21
636,RPS23,0.478,0.26,0.142,-0.43,-0.306,-0.546,-0.213,-0.598,-0.242,-1.194,-0.875,878.559,2.62e-182,1.77e-178
637,RPS24,0.142,0.32,0.065,-0.368,-0.292,-0.23,-0.205,-0.632,-0.379,-0.695,-0.549,327.776,2.06e-64,1.38e-60
638,RPS25,0.133,0.04,-0.002,-0.021,-0.166,-0.032,0.007,-0.405,0.04,-0.816,-0.163,162.628,9.29e-30,6.11e-26
639,RPS26,-0.318,-0.254,-0.099,0.126,-0.129,0.313,-0.051,-0.108,-0.087,-0.361,-0.076,101.9,2.27e-17,1.47e-13
640,RPS27,0.336,0.421,-0.124,-0.498,-0.467,-0.859,-0.542,-0.67,-0.521,-0.227,-0.407,573.124,1.01e-116,6.78e-113
641,RPS27A,0.417,0.213,-0.058,-0.485,-0.365,-0.504,-0.306,-0.771,-0.404,-0.402,-0.463,467.652,3.58e-94,2.41e-90
642,RPS28,-0.063,0.047,0.12,-0.559,0.059,-0.251,0.025,-0.205,0.45,-0.32,-0.1,81.25,2.85e-13,1.82e-09
643,RPS29,0.084,0.312,0.202,-0.374,0.222,-0.362,-0.115,-0.574,-0.142,-1.02,-0.444,435.172,3.03e-87,2.04e-83
644,RPS3,0.349,0.176,0.185,-0.331,-0.145,-0.685,-0.349,-0.876,-0.37,-0.838,-0.686,667.742,5.26e-137,3.55e-133
645,RPS3A,0.396,0.257,0.081,-0.424,-0.447,-0.639,-0.368,-0.774,-0.581,-0.949,-0.782,793.169,6.07e-164,4.1e-160
646,RPS4X,0.357,0.416,0.047,-0.45,-0.356,-0.68,-0.367,-0.782,-0.373,-0.889,-0.697,733.647,3.74e-151,2.53e-147
647,RPS4Y1,0.114,-0.194,-0.128,-0.591,-0.291,-0.248,-0.3,-0.406,-0.096,-0.244,-0.279,105.722,3.88e-18,2.51e-14
648,RPS5,-0.03,-0.057,0.101,-0.098,0.137,-0.028,0.037,-0.301,-0.103,-0.685,-0.202,118.103,1.23e-20,7.97e-17
649,RPS6,0.112,0.28,0.209,-0.363,-0.011,-0.314,0.038,-0.605,-0.487,-1.209,-0.405,485.295,6.11e-98,4.12e-94
650,RPS7,-0.147,0.079,0.082,-0.1,-0.082,-0.072,0.222,-0.341,-0.002,-0.414,-0.145,78.796,8.64e-13,5.52e-09
651,RPS8,0.019,0.221,0.226,-0.033,0.358,-0.214,0.079,-0.561,-0.233,-1.304,-0.387,491.515,2.87e-99,1.93e-95
652,RPS9,0.305,-0.111,0.059,-0.545,-0.317,-0.501,-0.04,-0.583,-0.433,-0.522,-0.265,296.963,6.82e-58,4.56e-54
653,RPSA,-0.107,-0.014,0.169,-0.115,0.202,-0.196,-0.073,-0.345,-0.096,-0.646,-0.223,144.856,4.25e-26,2.79e-22
654,RRM1,-0.293,-0.299,-0.114,-0.235,0.025,-0.014,0.092,0.147,-0.212,-0.292,-0.241,76.631,2.29e-12,1.46e-08
655,RUNX1,-0.322,-0.258,-0.167,-0.072,-0.068,0.28,0.073,-0.022,-0.218,-0.352,-0.372,104.526,6.74e-18,4.36e-14
656,RUNX2,-0.228,-0.242,-0.217,-0.241,-0.245,-0.105,0.033,1.094,-0.02,0.379,-0.187,220.918,6.87e-42,4.56e-38
657,S100A4,-0.194,-0.222,-0.223,0.12,0.463,-0.157,-0.274,-0.152,-0.194,-0.227,-0.382,64.726,4.57e-10,2.88e-06
658,S100A6,-0.112,-0.179,-0.255,0.059,0.954,-0.182,-0.349,-0.281,-0.384,-0.385,-0.423,136.48,2.22e-24,1.45e-20
659,SAMHD1,-0.109,-0.107,-0.116,-0.159,-0.121,0.034,-0.098,0.383,-0.106,-0.117,-0.109,47.194,8.71e-07,0.00536
660,SATB1,-0.334,-0.32,-0.202,-0.25,-0.309,-0.08,0.221,0.176,0.902,0.217,0.471,224.171,1.43e-42,9.51e-39
661,SCCPDH,-0.307,-0.277,-0.182,-0.13,-0.127,0.121,-0.093,-0.184,-0.312,-0.364,-0.105,52.359,9.79e-08,0.000607
662,SEC11A,-0.266,-0.1,-0.182,0.154,-0.04,-0.021,-0.233,-0.09,-0.396,-0.302,-0.305,41.849,7.98e-06,0.0487
663,SEC61B,-0.335,-0.3,-0.215,-0.151,-0.174,0.233,-0.077,0.705,0.059,-0.295,-0.093,163.592,5.87e-30,3.86e-26
664,SEC61G,-0.281,-0.249,-0.187,-0.078,-0.154,0.085,-0.062,0.287,-0.055,-0.304,-0.177,77.125,1.83e-12,1.17e-08
665,SELL,-0.141,-0.469,0.081,-0.806,-0.827,-0.232,0.231,0.568,0.324,-0.656,0.82,569.055,7.48e-116,5.04e-112
666,SEPT6,-0.273,-0.245,-0.039,-0.347,-0.319,-0.303,-0.107,0.046,0.098,-0.19,0.036,62.172,1.4e-09,8.82e-06
667,SEPT9,-0.245,-0.32,-0.231,-0.392,-0.344,-0.187,-0.112,0.396,0.035,0.129,0.339,170.609,2.08e-31,1.37e-27
668,SERBP1,-0.338,-0.272,-0.102,0.095,0.187,0.466,-0.078,-0.089,-0.429,-0.526,-0.221,179.504,2.97e-33,1.96e-29
669,SERF2,-0.373,-0.257,-0.176,0.462,0.314,0.366,0.022,0.494,-0.199,-0.236,-0.038,219.492,1.37e-41,9.07e-38
670,SERPINB1,-0.298,0.487,-0.141,0.922,-0.154,0.321,-0.336,-0.623,-0.194,-0.689,-0.442,440.642,2.07e-88,1.39e-84
671,SERPING1,-0.136,-0.208,-0.119,-0.01,-0.328,-0.238,-0.071,-0.297,-0.227,-0.374,-0.424,45.356,1.88e-06,0.0115
672,SERTAD2,-0.269,-0.269,-0.177,-0.206,-0.313,-0.122,-0.072,0.123,0.219,-0.018,0.07,64.139,5.92e-10,3.73e-06
673,SET,-0.319,-0.252,-0.122,-0.258,0.013,0.089,0.055,-0.039,-0.239,-0.229,-0.056,63.721,7.12e-10,4.48e-06
674,SFPQ,-0.395,-0.316,-0.137,0.026,0.082,0.294,0.101,0.36,-0.238,-0.306,0.016,198.674,3.05e-37,2.02e-33
675,SFT2D2,-0.229,-0.219,-0.17,-0.202,-0.046,0.103,-0.13,0.164,-0.205,-0.164,-0.154,47.306,8.31e-07,0.00511
676,SH3BGRL3,-0.323,-0.24,-0.268,0.302,-0.335,-0.121,-0.019,0.102,0.373,0.279,0.099,132.764,1.27e-23,8.32e-20
677,SH3KBP1,-0.262,-0.285,-0.252,-0.234,-0.262,-0.048,-0.03,0.275,-0.077,-0.233,0.18,97.628,1.62e-16,1.05e-12
